,name,sys.country,coord.lat,coord.lon,main.temp_max,main.humidity,wind.speed,clouds.all
0,Nastola,FI,60.95,25.93,21.2,92,4.7,75
1,Chuy,UY,-33.69,-53.46,66.71,93,9.17,0
2,Fukue,JP,35.03,136.69,57.2,67,6.93,0
3,Rikitea,PF,-23.12,-134.97,79.81,100,8.72,56
4,Bredasdorp,ZA,-34.53,20.04,64.4,82,3.36,56
5,Busselton,AU,-33.64,115.35,64.96,100,6.93,48
6,Adrar,DZ,27.87,-0.29,62.6,11,12.75,0
7,Ushuaia,AR,-54.81,-68.31,42.8,98,20.8,75
8,Lodja,CD,-3.52,23.6,68.92,99,2.57,92
9,Barrow,AR,-38.31,-60.23,69.91,48,10.29,0
10,Kodiak,US,39.95,-94.76,53.6,66,3.36,90
11,San Patricio,PY,-26.98,-56.83,72.16,90,2.13,8
12,Ercis,TR,39.03,43.36,53.6,62,11.41,75
13,Port Elizabeth,US,39.31,-74.98,47.59,81,5.93,90
14,Grand Gaube,MU,-20.01,57.66,73.4,94,2.24,40
15,Rundu,NA,-17.91,19.77,65.36,92,1.57,44
16,Bonthe,SL,7.53,-12.5,78.5,89,5.59,24
17,Vardo,US,39.62,-77.74,46.15,100,2.57,90
18,Butaritari,KI,3.07,172.79,81.61,100,8.39,56
19,Kenora,CA,49.76,-94.48,22.08,67,19.46,75
20,Cabo San Lucas,MX,22.89,-109.91,75.61,49,9.17,5
21,Saint-Philippe,CA,45.36,-73.48,41.0,80,4.7,1
22,Ribeira Grande,PT,38.52,-28.7,57.58,100,10.85,0
23,Chunskiy,RU,56.08,99.63,30.58,82,5.48,24
24,Tuktoyaktuk,CA,69.44,-133.03,-7.61,63,18.34,5
25,Malinovskiy,RU,54.15,34.53,2.18,58,3.24,0
26,Avarua,CK,-21.21,-159.78,87.8,84,10.29,75
27,Hermanus,ZA,-34.42,19.24,56.23,93,3.02,56
28,Khatanga,RU,71.98,102.47,-12.36,78,15.43,76
29,Provideniya,RU,64.42,-173.23,23.0,67,6.71,75
30,Bull Savanna,JM,17.89,-77.59,73.46,81,4.59,92
31,Chokurdakh,RU,70.62,147.9,-9.39,85,4.59,64
32,Terney,RU,45.05,136.61,37.15,74,9.73,0
33,Castro,CL,-42.48,-73.76,51.28,97,3.58,48
34,Mataura,NZ,-46.19,168.86,62.62,82,4.59,0
35,Atuona,PF,-9.8,-139.03,81.88,100,14.76,32
36,Hobart,AU,-42.88,147.33,60.8,59,10.29,20
37,Genhe,CN,50.78,121.52,24.91,42,6.82,0
38,Lorengau,PG,-2.02,147.27,84.22,95,7.61,44
39,Geraldton,CA,49.72,-86.95,35.6,74,10.29,90
40,Thompson,CA,55.74,-97.86,15.8,40,10.29,75
41,Vityazevo,RU,44.99,37.26,46.4,93,17.9,76
42,Saskylakh,RU,71.97,114.09,-4.3,77,14.88,80
43,Espita,MX,21.01,-88.31,79.27,68,13.53,68
44,Bulaevo,KZ,54.91,70.44,35.98,94,21.47,92
45,Chor,PK,25.52,69.77,67.7,31,2.68,0
46,Dongkan,CN,34.0,119.83,58.21,86,7.38,32
47,Dikson,RU,73.51,80.55,-11.73,76,6.93,0
48,Severo-Kurilsk,RU,50.68,156.12,36.52,89,15.21,36
49,Acapulco,MX,16.86,-99.88,80.6,78,13.87,40
50,Puerto Ayora,EC,-0.74,-90.35,82.4,69,12.75,20
51,Ambulu,ID,-8.35,113.61,79.76,100,7.05,68
52,Wegrow,PL,52.4,22.02,31.25,84,13.65,92
53,Wajir,KE,1.75,40.07,71.26,95,3.91,20
54,Punta Arenas,CL,-53.16,-70.91,42.55,100,27.74,0
55,Torbay,CA,47.66,-52.73,33.8,100,2.24,90
56,Wladyslawowo,PL,54.79,18.4,26.6,63,12.75,0
57,Valparaiso,US,41.47,-87.06,48.7,75,5.82,90
58,Kapaa,US,22.08,-159.32,76.6,61,13.87,1
59,New Norfolk,AU,-42.78,147.06,64.4,48,10.29,20
60,Kabinda,CD,-6.14,24.49,66.53,100,4.25,92
61,Codrington,AU,-28.95,153.24,70.58,100,5.93,92
62,Novo Oriente,BR,-5.54,-40.77,69.64,98,2.57,76
63,Vaini,IN,15.34,74.49,71.53,94,3.36,64
64,Chandbali,IN,20.77,86.74,78.55,100,11.63,0
65,Naze,NG,5.43,7.07,76.43,90,5.93,24
66,Mareeba,AU,-16.99,145.42,84.2,70,11.41,20
67,Popondetta,PG,-8.77,148.24,77.92,83,2.35,20
68,Qaanaaq,GL,77.48,-69.36,-10.47,71,1.9,20
69,Carnarvon,ZA,-30.97,22.13,63.65,62,4.59,92
70,Port Lincoln,AU,-34.72,135.86,64.33,93,8.28,80
71,Bubaque,GW,11.28,-15.83,77.0,69,6.93,0
72,Talnakh,RU,69.49,88.39,-11.01,72,7.94,48
73,Eyl,SO,7.98,49.82,76.61,100,9.95,92
74,Ciudad Bolivar,VE,8.12,-63.55,86.74,48,14.76,20
75,Albany,US,42.65,-73.75,41.38,75,2.46,75
76,Jamestown,AU,-33.21,138.6,68.02,59,4.36,0
77,Omboue,GA,-1.57,9.26,83.45,100,12.08,76
78,Vega de Alatorre,MX,20.03,-96.65,83.23,65,4.25,36
79,Puerto Madryn,AR,-42.77,-65.04,74.32,53,13.31,92
80,Yellowknife,CA,62.45,-114.38,-7.61,39,6.93,20
81,Tasiilaq,GL,65.61,-37.64,24.8,79,3.36,0
82,Kunda,EE,59.5,26.52,25.31,91,6.6,0
83,Shingu,JP,33.72,135.99,62.6,63,3.36,0
84,Cockburn Town,TC,21.46,-71.14,74.18,100,21.36,0
85,Cocorit,MX,27.57,-109.96,82.4,20,16.11,5
86,Umm Lajj,SA,25.02,37.27,82.15,62,21.47,0
87,Yar-Sale,RU,66.83,70.83,-3.85,65,13.65,12
88,Waitati,NZ,-45.75,170.57,58.93,77,1.34,32
89,Ritchie,ZA,-29.03,24.6,68.0,52,10.29,32
90,Rocha,UY,-34.48,-54.34,68.11,95,8.28,88
91,Pevek,RU,69.7,170.27,6.05,81,19.8,0
92,Merrill,US,42.03,-121.6,64.4,25,16.11,1
93,Ilulissat,GL,69.22,-51.1,-2.21,53,2.24,40
94,Faanui,PF,-16.48,-151.75,83.77,97,12.08,88
95,Arraial do Cabo,BR,-22.97,-42.02,75.2,94,9.17,0
96,Queanbeyan,AU,-35.35,149.23,73.4,33,4.7,0
97,Sao Joao da Barra,BR,-21.64,-41.05,75.2,88,2.24,0
98,Sisimiut,GL,66.94,-53.67,-2.1,70,1.9,64
99,Fortuna,ES,38.18,-1.13,55.4,71,5.82,0
100,Hilo,US,19.71,-155.08,73.04,69,10.29,20
101,Seoul,KR,37.57,126.98,55.02,82,3.36,75
102,Port Alfred,ZA,-33.59,26.89,68.65,99,6.6,92
103,San Felipe,CL,-32.75,-70.73,56.5,74,1.45,0
104,Hithadhoo,MV,-0.6,73.08,83.14,100,2.91,80
105,Krasnoborsk,RU,61.56,45.93,8.35,87,4.59,68
106,Jining,CN,35.41,116.58,58.21,74,8.84,0
107,Mazatlan,MX,23.22,-106.42,80.6,28,11.41,5
108,Cherskiy,RU,68.75,161.3,11.45,76,4.47,80
109,Gravdal,NO,59.79,5.78,33.8,34,17.22,20
110,Sivakasi,IN,9.45,77.8,78.8,78,3.13,20
111,Port Hedland,AU,-20.31,118.58,95.0,23,11.41,0
112,Broome,GB,52.47,1.45,33.8,100,4.7,12
113,Russell,AR,-33.01,-68.8,80.6,34,4.7,0
114,Darnah,LY,32.77,22.64,59.6,100,28.52,12
115,Bafoulabe,ML,13.81,-10.83,82.01,25,7.72,48
116,Ahipara,NZ,-35.17,173.16,73.01,75,4.36,20
117,Quilmana,PE,-12.95,-76.38,67.84,82,2.13,0
118,Singaraja,ID,-8.11,115.08,73.55,100,1.12,64
119,Mezen,RU,65.85,44.24,8.75,79,6.38,12
120,Samarai,PG,-10.62,150.67,83.23,100,1.01,8
121,Lasa,CY,34.92,32.53,58.1,87,25.28,75
122,Kaniama,CD,-7.57,24.18,66.94,99,2.68,88
123,Bambous Virieux,MU,-20.34,57.76,73.4,94,2.24,40
124,Forestville,CA,48.74,-69.09,30.2,92,5.82,40
125,Brae,GB,60.4,-1.35,37.4,86,21.92,92
126,Kampong Thum,KH,12.71,104.89,76.03,91,7.38,88
127,Togur,RU,58.36,82.83,24.23,88,8.05,76
128,Haines Junction,CA,60.75,-137.51,23.83,86,1.9,80
129,Thinadhoo,MV,0.53,72.93,84.08,100,3.91,64
130,Praia da Vitoria,PT,38.73,-27.07,53.6,71,12.3,75
131,Alindao,CF,5.04,21.21,73.96,90,7.38,64
132,Tabuk,PH,17.41,121.44,65.9,89,1.68,12
133,Bam,IR,29.11,58.36,52.27,27,4.59,0
134,Whitehorse,CA,60.72,-135.06,35.6,47,3.36,75
135,Aklavik,CA,68.22,-135.01,8.6,46,12.75,5
136,Kahului,US,20.89,-156.47,78.67,69,9.17,40
137,Meulaboh,ID,4.14,96.13,77.2,100,4.14,56
138,Constitucion,MX,23.99,-104.67,71.6,17,20.8,20
139,Henties Bay,NA,-22.12,14.28,62.26,100,7.38,100
140,Marquette,US,46.54,-87.4,46.4,39,9.17,75
141,Mar del Plata,AR,-46.43,-67.52,59.11,43,25.17,0
142,Puri,ID,-7.54,112.45,73.73,89,6.82,20
143,Te Anau,NZ,-45.41,167.72,56.59,79,4.14,0
144,Roberval,CA,48.51,-72.22,37.4,74,3.36,75
145,Bayan,MN,47.25,107.54,22.84,59,3.36,12
146,Terrace,CA,54.52,-128.61,44.6,45,5.82,75
147,Hambantota,LK,6.12,81.12,78.95,100,4.14,0
148,Poum,MK,41.28,20.71,18.83,82,1.79,0
149,Tambovka,UA,46.93,35.45,32.56,86,6.15,64
150,Kununurra,AU,-15.77,128.74,87.8,52,10.29,80
151,Betare Oya,CM,5.6,14.08,69.95,90,5.59,0
152,Aswan,EG,24.09,32.9,78.8,26,17.22,0
153,Lebu,ET,8.96,38.73,57.2,62,6.93,0
154,Impfondo,CD,1.62,18.06,70.63,96,2.68,8
155,Dauphin,CA,51.15,-100.04,17.6,67,20.8,1
156,Otradnyy,RU,53.38,51.35,23.29,91,10.18,76
157,Roseto degli Abruzzi,IT,42.68,14.01,44.6,93,2.24,0
158,Sao Filipe,CV,14.9,-24.5,69.55,100,15.99,8
159,Tiksi,RU,71.64,128.87,-4.12,51,3.47,8
160,Saint-Paul,FR,45.22,1.9,43.86,93,9.17,75
161,Inuvik,CA,68.36,-133.71,3.97,46,12.75,5
162,Cape Town,ZA,-33.93,18.42,62.6,93,4.7,20
163,Lucapa,AO,-8.42,20.74,66.08,100,3.8,88
164,Cayenne,GF,4.94,-52.33,78.8,78,6.93,0
165,Alofi,NU,-19.06,-169.92,79.99,100,7.72,56
166,Kamenka,RU,53.19,44.05,17.03,89,4.92,56
167,Mpika,ZM,-11.84,31.4,64.06,90,7.16,56
168,Bonavista,CA,48.65,-53.11,32.33,90,5.7,56
169,Pacific Grove,US,36.62,-121.92,70.83,63,4.7,1
170,Port Blair,IN,11.67,92.75,82.73,100,5.14,12
171,Souillac,FR,45.6,-0.6,44.6,93,4.7,0
172,Avera,US,33.19,-82.53,73.04,56,4.7,1
173,Iqaluit,CA,63.75,-68.52,8.6,42,5.82,75
174,Hualmay,PE,-11.1,-77.61,69.41,77,3.91,32
175,Quang Ngai,VN,15.12,108.8,67.03,85,2.91,0
176,Ancud,CL,-41.87,-73.83,52.27,89,3.58,44
177,Fort Nelson,CA,58.81,-122.69,21.2,67,8.05,75
